Party,Wellington Accommodation ,Out of Wellington Accommodation ,Domestic Air Travel,"Surface Travel (Ministers, Spouse and staff)",Sub Total Internal Costs,Official Cabinet Approved International Travel (A) 
Act,,,,,,
David Seymour                           ,-  ,-  ,-  ,"1,391 (D)","1,391 (D)",-  
Act Total,-  ,-  ,-  ,"1,391 ","1,391 ",-  
Green Party,,,,,,
Hon Eugenie Sage,"7,249 ","2,256 ","6,748 ","2,312 ","18,566 ",-  
Hon James Shaw,-  ,"2,962 ","4,762 ","7,909 ","15,633 ","7,082 "
Hon Julie Anne Genter,"10,356 ",292 ,"6,105 ","5,053 ","21,806 ","11,032 "
Jan Logie,-  ,"3,149 ","2,801 ","1,546 ","7,496 ",65 
Green Party Total,"17,606 ","8,659 ","20,415 ","16,821 ","63,501 ","18,180 "
Labour ,,,,,,
Hon Andrew Little,-  ,"2,335 ","7,772 ","13,507 ","23,614 ","12,295 "
Hon Aupito Su'a William Sio,"6,113 ",204 ,"6,719 ","6,788 ","19,825 ","11,365 "
Hon Carmel Sepuloni,"10,356 ",-  ,"8,763 ","10,990 ","30,109 ",-  
Hon Chris Hipkins,-  ,-  ,"1,716 ","6,502 ","8,219 ","30,227 "
Hon Clare Curran,"10,356 ",888 ,"8,868 ","10,001 ","30,113 ","4,119 "
Hon Damien O'Connor,"6,935 ",388 ,"10,399 ","10,660 ","28,382 ","72,219 "
Hon David Clark,"7,249 ",575 ,"10,176 ","9,777 ","27,777 ",-  
Hon David Parker,"7,915 ",417 ,"8,217 ","7,922 ","24,470 ","58,045 "
Hon Grant Robertson,-  ,"1,904 ","5,682 ","6,290 ","13,877 ","24,340 "
Hon Iain Lees-Galloway,"10,356 ","1,612 ","3,114 ","7,405 ","22,488 ",-  
Hon Jenny Salesa,"10,356 ",920 ,"8,508 ","9,154 ","28,938 ","3,443 "
Hon Kelvin Davis,"10,356 ","3,791 ","9,354 ","17,822 (F)","41,324 (F)",-  
Hon Kris Faafoi,-  ,964 ,"6,857 ","11,807 ","19,628 ","19,713 "
Hon Megan Woods,"10,356 ",781 ,"9,468 ","7,635 ","28,239 ","11,753 "
Hon Meka Whaitiri,"10,356 ","2,419 ","8,749 ","10,133 ","31,657 ",-  
Hon Nanaia Mahuta,"10,356 ","3,139 ","9,029 ","8,743 ","31,267 ","2,865 "
