Contact,Salutation,Job Title,Electorate,Party,Parliament Email 
"Adams, Amy",Hon,Member for Selwyn,Selwyn,National Party,Amy.Adams@parliament.govt.nz
"Allan, Kiri",,List Member,,Labour Party,Kiri.Allan@parliament.govt.nz
"Andersen, Virginia",,List Member,,Labour Party,Virginia.Andersen@parliament.govt.nz
"Ardern, Jacinda",Rt. Hon.,Member for Mt Albert,Mt Albert,Labour Party,Jacinda.Ardern@parliament.govt.nz
"Bakshi, Kanwaljit Singh",,List Member,,National Party,ksb@parliament.govt.nz
"Ball, Darroch",,List Member,,NZ First,Darroch.Ball@parliament.govt.nz
"Barry, Maggie",Hon,Member for North Shore,North Shore,National Party,Maggie.Barry@parliament.govt.nz
"Bayly, Andrew",,Member for Hunua,Hunua,National Party,Andrew.Bayly@parliament.govt.nz
"Bennett, David",Hon,Member for Hamilton East,Hamilton East,National Party,David.Bennett@parliament.govt.nz
"Bennett, Paula",Hon,Member for Upper Harbour,Upper Harbour,National Party,Paula.Bennett@parliament.govt.nz
"Bidois, Daniel",,Member for Northcote,Northcote,National Party,Dan.Bidois@parliament.govt.nz
"Bishop, Christopher",,Member for Hutt South,Hutt South,National Party,Christopher.Bishop@parliament.govt.nz
"Bridges, Simon",Hon,Member for Tauranga,Tauranga,National Party,Simon.Bridges@parliament.govt.nz
"Brown, Simeon",,Member for Pakuranga,Pakuranga,National Party,Simeon.Brown@parliament.govt.nz
"Brownlee, Gerry",Hon,Member for Ilam,Ilam,National Party,Gerry.Brownlee@parliament.govt.nz
"Carter, David",Rt. Hon.,List Member,,National Party,David.Carter@parliament.govt.nz
"Clark, David",Hon. Dr.,Member for Dunedin North,Dunedin North,Labour Party,David.Clark@parliament.govt.nz
"Coffey, Tamati",,Member for Waiariki,Waiariki,Labour Party,Tamati.Coffey@parliament.govt.nz
"Collins, Judith",Hon,Member for Papakura,Papakura,National Party,Judith.Collins@parliament.govt.nz
"Craig, Elizabeth",Dr.,List Member,,Labour Party,Liz.Craig@parliament.govt.nz
"Curran, Clare",Hon,Member for Dunedin South,Dunedin South,Labour Party,Clare.Curran@parliament.govt.nz
"Davidson, Marama",,List Member,,Green Party,Marama.Davidson@parliament.govt.nz
"Davis, Kelvin",Hon,Member for Te Tai Tokerau,Te Tai Tokerau,Labour Party,Kelvin.Davis@parliament.govt.nz
"Dean, Jacqui",Hon,Member for Waitaki,Waitaki,National Party,Jacqui.Dean@parliament.govt.nz
"Doocey, Matthew",,Member for Waimakariri,Waimakariri,National Party,matthew.doocey@parliament.govt.nz
"Dowie, Sarah",,Member for Invercargill,Invercargill,National Party,Sarah.Dowie@parliament.govt.nz
"Dyson, Ruth",Hon,Member for Port Hills,Port Hills,Labour Party,Ruth.Dyson@parliament.govt.nz
"Eagle, Paul",,Member for Rongotai,Rongotai,Labour Party,Paul.Eagle@parliament.govt.nz
"Faafoi, Kris",Hon,Member for Mana,Mana,Labour Party,kris.faafoi@parliament.govt.nz
"Falloon, Andrew",,Member for Rangitata,Rangitata,National Party,Andrew.Falloon@parliament.govt.nz
"Finlayson, Christopher",Hon,List Member,,National Party,Christopher.Finlayson@parliament.govt.nz
"Genter, Julie Anne",Hon,List Member,,Green Party,JulieAnne.Genter@parliament.govt.nz
"Ghahraman, Golriz",,List Member,,Green Party,Golriz.Ghahraman@parliament.govt.nz
"Goldsmith, Paul",Hon,List Member,,National Party,Paul.Goldsmith@parliament.govt.nz
"Guy, Nathan",Hon,Member for Otaki,Otaki,National Party,Nathan.Guy@parliament.govt.nz
"Hayes, Joanne",,List Member,,National Party,Joanne.Hayes@parliament.govt.nz
"Henare, Peeni",Hon,Member for Tamaki Makaurau,Tamaki Makaurau,Labour Party,Peeni.Henare@parliament.govt.nz
"Hipango, Harete",,Member for Whanganui,Whanganui,National Party,Harete.Hipango@parliament.govt.nz
"Hipkins, Chris",Hon,Member for Rimutaka,Rimutaka,Labour Party,Chris.Hipkins@parliament.govt.nz
"Hudson, Brett",,List Member,,National Party,Brett.Hudson@parliament.govt.nz
"Hughes, Gareth",,List Member,,Green Party,gareth.hughes@parliament.govt.nz
"Huo, Raymond",,List Member,,Labour Party,Raymond.Huo@parliament.govt.nz
"Jackson, Willie",Hon,List Member,,Labour Party,Willie.Jackson@parliament.govt.nz
"Jones, Shane",Hon,List Member,,NZ First,Shane.Jones@parliament.govt.nz
"Kanongata'a-Suisuiki, Anahila",,List Member,,Labour Party,Anahila.Kanongata'a-Suisuiki@parliament.govt.nz
"Kaye, Nikki",Hon,Member for Auckland Central,Auckland Central,National Party,Nikki.Kaye@parliament.govt.nz
"King, Matt",,Member for Northland,Northland,National Party,Matt.King@parliament.govt.nz
"Korako, Nuk",,List Member,,National Party,Nuk.Korako@parliament.govt.nz
"Kuriger, Barbara",,Member for Taranaki-King Country,Taranaki-King Country,National Party,Barbara.Kuriger@parliament.govt.nz
"Lee, Denise",,Member for Maungakiekie,Maungakiekie,National Party,Denise.Lee@parliament.govt.nz
"Lee, Melissa",,List Member,,National Party,Melissa.Lee@parliament.govt.nz
"Lees-Galloway, Iain",Hon,Member for Palmerston North,Palmerston North,Labour Party,Iain.Lees-Galloway@parliament.govt.nz
"Little, Andrew",Hon,List Member,,Labour Party,Andrew.Little@parliament.govt.nz
"Logie, Jan",,List Member,,Green Party,Jan.Logie@parliament.govt.nz
